,index,question,topic
1761,1761,When I was entering in interview room my HR told me to wait outside  I was waiting there and looking how they analyzing my CV and application form the door of glass After the wait of few mins  I called inside by them,normal  forms
1762,1762,How to know if you belong to TopGroup or the other normal group,normal  forms
1763,1763,In the interview Firstly I was asked about how my test was Later I got to know that many were asked this innocuous looking but potentially dangerous question first up I suggest however good ur test may be  be a little reserved on this Then they thoroughly grilled on C  C Questions on C ranged from operators  to maximum size of arrays  linking of header files  compilation  assembler  preprocessor  the file inclusion  whether one can build a header file etc in C they asked about OO concepts  encapsulation  abstraction  virtual functions  how they work  polymorphism  inheritance In DBMS I was asked to name some commercial DBMS packages  whether MS Access was one Also what normalization was  how it was done Also what client server architecture was  to give a real life example of it In DS I was asked about what queue how it worked  whether one could have a LIFO queue Also what r single  double linked lists,Arrays
1764,1764,Redo log file  What exactly it stores,File systems
1765,1765,How to find a pattern in a file  said  using grep How to ignore case  grep i,Asymptotic  worst  case  time  and  space  complexity
1766,1766,What   does the file stdioh contain,File systems
1767,1767,In all probability  what we are seeing right now is just a precursor to the larger picture  well laid out by them may be for the good With rising prices  the OPEC might be delighted right now  but perhaps they are unable to see what is going to hit them For this unprecedented rise in oil is creating a most demanding environment for alternative fuels As and when the reserves deplete and demand really grows  more than anyone else  it is OPEC that would be badly hit  much to the glee of some nations having unused reserves which have the most to gain by using blackmailing tactics Eventually  the countries at the receiving end would be forced to create an enabling environment for alternative energy This trend is already visible  with India showing the way with its nuclear deal and other countries dangling the carrot of complete conversion to natural gas towards other countries in order to boost their own business By doing so they are creating a tactical pressure on countries As they know that the further the oil prices get pushed  the more the globe would become attracted and ready for alternative and nonconventional fuel Moreover  for many of the countries  it might become more expensive to invest in newer technologies to conform to the emission norms than to shift to alternative sources  making the market even more attractive And it is then that the organizations which have already invested billions of dollars in alternate fuels would mop up the global energy market completely,Context-free  grammars  and  push-down automata
1768,1768,When I entered the hall interviewer was observing files,File systems
1769,1769,if the name of the executable file is abc and the command line is,File systems
1770,1770,if the name of the executable file is abc and the command line is     given as abc xyz what is the     output,File systems
1771,1771,if the name of the executable file is abc and the command line is       given as abc xyz,File systems
1772,1772,If there is      a global variable defined in another file is it necessary to      define it again in the current program,File systems
1773,1773,How is the filesystem organization in Linux,File  organization
1774,1774,In our group  we were given a case study based on welfare organization in a populous state in east coast The organization wanted to improve the already existing web client server model There were 4 questions based on SDLC  Big bang implementation  etc The panel gave us 10 minutes to jot down some points on a piece of paper which they have provided and later on the GD started,fixed and floating point
1775,1775,Which WAN network is   suitable for the 100Km or m distance networkIf duplicate segments     file are there in hardisk which is best for management     a   FAT    b   SAT,File systems
1776,1776,In Section 2 ten questions on C language like NULL present in which header file  syntax of malloc  one question on pointers,Regular and contex-free languages
1777,1777,If you are from CSE discipline  you are through this OS consisted of problems with average turn around time  NTFS FAT32 file systems  and very basic OS concepts Two Unix commands were concatenated using pipe and the output was asked And one pattern searching problem also appeared under Unix,binary  search trees
1778,1778,where do we define file structure and where do we declare it,File systems
1779,1779,If duplicate segments   file are there in hardisk which is best for,File systems
1780,1780,in global static variable   declartion in a file,File systems
1781,1781,Which one does not have file descriptor ,File systems
1782,1782,when an ip address is not in the computer adresss resolution file what does It do with that packet,Number representations and computer  arithmetic
1783,1783,How do you copy a file from one directory to other in UNIX,File systems
1784,1784,In SQL Server 2005 Integration Services  if you want to import a flat file very quickly that contains only integer data  what type of parsing should you use,parsing
1785,1785,Which of the following is an invalid file name for a database file,File systems
1786,1786,Which of the following is true about the Raw File Source in SQL Server 2005 Integration Services,File systems
1787,1787,Which of the following is not true about the Raw File Destintion connection in SQL Server 2005 Integration Services,File systems
1788,1788,In configuring the thesaurus configuration file for SQL Server 2005 FullText Search  you set the diacritics_sensitive value to 1 What does this mean,binary  search trees
1789,1789,When creating a fulltext index on a BLOB column image  binary or varbinary where a file is stored  what happens if an incorrect file prefix is stored in the type column For instance if a word document is stored in the image or a varbinaryMAX column and the value of the type column is pdf,binary  search trees
1790,1790,In the SQL Server 2005 thesaurus XML configuration file  what is the expansion set,File systems
1791,1791,When a database file grows  unless instant file initialization is turned on  the server must allocate disk space and then write 0s into all that space This zeroing out of the file creates the delay,Asymptotic  worst  case  time  and  space  complexity
1792,1792,If you absolutely need a report to look the same regardless of what OS or viewing software is being used  which of the following file formats would be the best choice,File systems
1793,1793,How would go about finding out where to look for a book in a library You do not know how the books are organized beforehand,File  organization
1794,1794,In theMicrosoft NET framework an assembly is a partially compiled code library for use in deployment  versioning and security In the Microsoft Windows implementation of NET  an assembly is a PE portable executable file There are two types  process assemblies EXE and library assemblies DLL A process assembly represents a process which will use classes defined in library assemblies In version 11 of the CLR classes can only be exported from library assemblies in version 20 this restriction is relaxed The compiler will have a switch to determine if the assembly is a process or library and will set a flag in the PE file NET does not use the extension to determine if the file is a process or library This means that a library may have either dll or exe as its extension,Intermediate code generation
1795,1795,if XYZ is not defined then only include the header file XYZh,File systems
1796,1796,If you set REMOTE_OS_AUTHENTTRUE in your initora file  Oracle assumes that the remote OS has authenticated the user If REMOTE_OS_AUTHENT is set to FALSE recommended  remote users will be unable to connect without a password IDENTIFIED EXTERNALLY will only be in effect from the local host Also  if you are using OPS as your prefix  you will be able to log on locally with or without a password  regardless of whether you have identified your ID with a password or defined it to be IDENTIFIED EXTERNALLY,File systems
1797,1797,Can password be changed Yes  put the new password in snmp_rwora file,File systems
1798,1798,where aevent  db file sequential read,Combinational  and  sequential  circuits
1799,1799,If we can restore a few blocks rather than an entire file we only need few blocks,File systems
1800,1800,When a job is submitted the agent will confirm the status of the job When the status shows up as scheduled  you can close down the OEM console The processing of the job is managed by the OIA Oracle Intelligent Agent The OIA maintains a jou file in the agents subdirectory When the console is launched communication with the Agent is established and the contents of the jou file binary are reported to the console job subsystem Note that OEM will not be able to send email and paging notifications when the Console is not started,inter?process  communication
1801,1801,When an instance of an ORACLE database is started  its control file is used to identify the database and redo log files that must be opened for database operation to proceed It is also used in database recovery,data?path and control unit
1802,1802,Can one readwrite files from PLSQL,File systems
1803,1803,If the agent doesnt want to start  ensure your environment variables are set correctly and delete the following files before trying again,Runtime environments
1804,1804,If you need to load positional data fixed length  look at the following control file example,data?path and control unit
1805,1805,What is the use of Control files ,data?path and control unit
1806,1806,In the C  C part  most of the questions were from pointers  functions  files  array  dynamic memory allocation malloc based questions the pattern of the question was to find out only errors or the op of the given program,Memory  hierarchy
1807,1807,What are the differences between Header files and Library functions,File systems
1808,1808,If you do so  later you are redirected to a different page where you will be asked to write an essay of about 200 words Trust me I have written only 125 to 150 words and I got selected where in the ones who wrote 200 didnt They do not see the length All that matters is the content and how organized you are 20 got select out of 150 for the essay and 10 got selected for the technical round So essay is a mass elimination round,File  organization
1809,1809,In the interview Firstly I was asked about how my test was Later I got to know that many were asked this innocuous looking but potentially dangerous question first up I suggest however good ur test may be  be a little reserved on this Then they thoroughly grilled on C  C Questions on C ranged from operators  to maximum size of arrays  linking of header files  compilation  assembler  preprocessor  the file inclusion  whether one can build a header file etc in C they asked about OO concepts  encapsulation  abstraction  virtual functions  how they work  polymorphism  inheritance In DBMS I was asked to name some commercial DBMS packages  whether MS Access was one Also what normalization was  how it was done Also what client server architecture was  to give a real life example of it In DS I was asked about what queue how it worked  whether one could have a LIFO queue Also what r single  double linked lists,Arrays
1810,1810,In SQL Server 2005  you are looking to implement fulltext search One of the tables you are looking to index stores Mircrosoft Word documents in a varbinarymax column Can you use Fulltext search to index this column,binary  search trees
1811,1811,Which of the following columns can be indexed with SQL Server 2005 FullText Search,SQL
1812,1812,When creating a fulltext index on a BLOB column image  binary or varbinary where a file is stored  what happens if an incorrect file prefix is stored in the type column For instance if a word document is stored in the image or a varbinaryMAX column and the value of the type column is pdf,binary  search trees
1813,1813,How would you reverse it without using indexing in the array,Arrays
1814,1814,In an indexed cluster  rows are stored together based on their cluster key values  Can not applied for HASH,indexing
1815,1815,Which of the following is not a schema object  Indexes  tables  public synonyms  triggers and packages ,indexing
1816,1816,Can null keys be entered in cluster index  normal index ,normal  forms
1817,1817,In which class we actually works in computer network A  B  C  D or E Ans B,Number representations and computer  arithmetic
1818,1818,In section B some ques were as follows,B  and  B
1819,1819,In section B general computer awareness,Number representations and computer  arithmetic
1820,1820,in section B some ques were as follows,B  and  B
1821,1821,In c there were conceptual ques on virtualfunctions   operator overloading etc in section B some ques were,B  and  B
1822,1822,When it snows  morning service on B is delayed,B  and  B
1823,1823,When it snows   morning service on B is delayed,B  and  B
1824,1824,When it snows   morning service on B is delayed,B  and  B
1825,1825,When the temperature rises over 90 degrees farenheit  the afternoon service is cancelled in either the line C or the 3 line but not bothWhen the service on the A line is delayed or cancelled  service on the C line which connects the A line  is delayedWhen service on the 3 line is cancelled  service on the B line which connects the 3 line is delayed,B  and  B
1826,1826,When the transmission parameters of the following network are A  C  1  B  2 and D  3 then the value of Zin is ,B  and  B
1827,1827,In a marathon race  A  B  C  D  E  F participated E finished ahead of F There were two people between B and F A finished ahead of C D finished ahead of B A finished just behind E,B  and  B
1828,1828,If   A and B are given in 2s complement find AB in decimal,B  and  B
1829,1829,In a puzzle solving problem puzzle A was solved by 67  B by 46 and C by 40 candidates 28 solved both A and B  8 solved both B and C  26 both A and C 2 solved all three,B  and  B
1830,1830,In an art gallery  12 paintings A  B  C  D  E  FL are to be displayed in 12 different slots The slots are on either side of a long corridor with 6 slots on each side Slot 1 is opposite slot 7  2 is opposite to 8 and so on The arrangement of paintings is such that K is in the same row as D  D is opposite to H which is exactly between E and F C is opposite to I which is exactly in between B and F A is in slot 1 A is diagonally opposite to B  which is opposite to J,B  and  B
1831,1831,When it snows   morning service on B is delayed,B  and  B
1832,1832,When service on the 3 line is cancelled  service on the B line which connects the 3 line is delayed,B  and  B
1833,1833,Why is there such a huge gap between your Intermediate and BTech percentage 965 to 7538,Intermediate code generation
1834,1834,What is the speed of draining when only tap B is open,B  and  B
1835,1835,What is the speed of draining when only  tap B is open,B  and  B
1836,1836,When he had worked for 4 days B joined  him,B  and  B
1837,1837,If the complete work is finished in 16  days form the beginning  in how many days can B alone finish the work,normal  forms
1838,1838,What is the speed of draining when only tap B is open,B  and  B
1839,1839,If the complete work is finished in 16 days form the beginning  in how many days can B alone finish the work,normal  forms
1840,1840,If they see that you are not capable of answering a subject they will stick on to that subject and fire you with a volley of questions until you yourself think that I am really a fool Then now abt the standard of question They ask only basic questions Questions are simple but twisted You should be able to give innovative solutions to the problems they give you after all its a Scientist B post,B  and  B
1841,1841,If non zero elementsof the lower triangular Matrix is stored in an array B  with A11 stored at B1 The addressing,Arrays
1842,1842,in one another  the selectivity of B will be,B  and  B
1843,1843,if M and N causes g only if B causes E like this one analytical question in that,B  and  B
1844,1844,In a seven day long miniconference organised in memory of Paul Erdos  a close group of eight mathematicians  call them A B C D E F G and H  discussed some research problems At the beginning of the conference  A was the only participant who has an infinite Erdos number Nobody had an Erdos number less than that of F,Number representations and computer  arithmetic
1845,1845,In this 5Q are venn diagrams AB stands for A is father of B  AB stands for Ais bro of B then what is ABc so on,B  and  B
1846,1846,where A B are two sets A   B are compliments of A and B,B  and  B
1847,1847,In public key algorithm   A wants to send message to B  which key is,Algorithm design techniques
1848,1848,In public key cryptography Awillsend message to B ans Using Bs public key,B  and  B
1849,1849,If A and B complete a piece of work in 10 days B and C can do a piece of work in 11 days and A and C complete a piece of work in 9 days How many days will B alone take to complete the piece of work,B  and  B
1850,1850,In PI questions were asked about family background  why choose IT field  how was the preplacement talk useful  basic questions from C and C like what is the difference between the 2  what is stack and queue  program of sorting technique Do mention if you have a problem with relocation as they were asking every individual about the preference of Chennai or Pune Some students were asked from their BTech papers so prepare your domain as well,stacks
1851,1851,In table 3person r sittingA iz wife of B n C iz da head o industryA iz sister of C so  wat iz da relation between B n C,Relational model
1852,1852,Where S2x  A  B were constants It was xtrememly simple,B  and  B
1853,1853,can write over there but dont use back pages as it is meant for sectionB ,B  and  B
1854,1854,Where are you coming from  From Hyd sir Ok which college in Hyd  No sir actually I did my BTech from vizianagaram Ok which college in vizianagaram MVGR college of engineering Oh is it MR college No sir its one of the subsidiaries of MR institutions run by MANSAS trust Oh Kk I have studied in MR College Oh is it That was a good coincidence sir Smiles on Ya Are there anyone here for u No sir no one I came here all the way from Hyd to attend the interview How many members are in your family I said 5 What does your father do I have said he works as a JTO in BSNL Ya I see here some BSNL scholarship in your resume Yes sir Every year I get the scholarship as of my merit and I try to maintain it ever,B  and  B
1855,1855,In section B you will hear some of the sentences from the other end and all you had to do is just repeat the sentence after the beep Try to listen to the sentences very carefully because you will hear them only once,B  and  B
1856,1856,How to crack Part C This is another tricky area of the test Listening skills are going to be the key for Part B and C Automated voice asks questions we have to answer them in two or,B  and  B
1857,1857,In the first round they have asked from C  Java  C  Data Structure and DBMS The questions are conceptual and if you have the concept clear then it will be easy for you The questions are like representation of tree or linked list using C  SQL query like joining  complexity analysis of a C program  any C program  method overloading from java  use of super keyword in java  why we use Btree  string length calculation using pointer  etc,Number representations and computer  arithmetic
1858,1858,How to crack Part C This is another tricky area of the test Listening skills are going to be the key for Part B and C Automated voice asks questions we have to answer them in two or three words max Two is suggestible Sometimes answer will be in the question it self or it will be a direct question,syntax-directed translation
1859,1859,When it snows  morning service on B is delayed,B  and  B
1860,1860,When service on the 3 line is cancelled  service on the B line which connects the 3 line is delayedQ1 On Jan 10th  with the temperature at 15 degree farenheit  it snows all day On how many lines will service be affected  including both morning and afternoonA 2,B  and  B
1861,1861,In tech  they usually asked me about my BTech Project So prepare you project in depth   some OOPS concepts  basics of C  some Database concepts thats it It lasted about 35 minutes,B  and  B
1862,1862,What you did after passing BTech in july 2017 ,B  and  B
1863,1863,write an algorithm  to find if two binary trees are same,trees
1864,1864,In C questions were mainly related with pointersarround 56 questions  2 questions from command line argument  1 questions related to size of structure  2 on string pointer  1 on preprocessor  1 on bitwise operator 1 on just declare the node of link list  1 on tree whose inorder and preorder is given  1 on continue,linked  lists
1865,1865,In binary search tree which traversal is used for getting ascending order valuesInorder  post order preorder,trees
1866,1866,In binary search tree which traversal is used for getting ascending order valuesInorder  post order preorder,trees
1867,1867,In   a tertiary tree  which has three childs for every node  if the number of   internal nodes are N  then the total number of leaf nodes are,Number representations and computer  arithmetic
1868,1868,If the number of leaves in a binary   tree are N  then the total number of internal nodesAssume complete binary tree,Number representations and computer  arithmetic
1869,1869,in a complete binary tree if the number of levels r 4 then the number of,Number representations and computer  arithmetic
1870,1870,if we delete a node from a balanced binary tree how can we retain the,trees
1871,1871,in a kway search tree with N keys  the number of nodeno of leaves,Number representations and computer  arithmetic
1872,1872,In Data Structures  They will give the code  you have to find whether it is preorder traversal or post order traversal  binary tree or binary search tree,trees
1873,1873,In Data Structures  They will give the code  you have to find     whether it is preorder traversal or post order traversal  binary tree or     binary search tree,trees
1874,1874,Which Data Structures to use for infix to prefix conversion Worst case complexity for quick sort preorder traversal Binary tree ,trees
1875,1875,Which one is called family tree,trees
1876,1876,When following sequence is insertedin the binary search tree noof nodes in,trees
1877,1877,Which traversal of the tree gives the node in the ascending order,trees
1878,1878,if there are n nodes in a binary tree  how many null pointers are there,trees
1879,1879,Which algo is best for sorting 10 elements Ans 1 binary tree 2 selection 3 bubble 4 none,trees
1880,1880,write postorder preorder inorder for that tree,trees
1881,1881,Write a function to copy two strings  A and B The last   few bytes of string A overlap the first few bytes of string B How would you   write qsort How would you print out the data in a binary tree  level by   level  starting at the top,trees
1882,1882,Write a function to copy two strings  A and B The last few bytes of string A overlap the first few bytes of string B How would you write qsort How would you print out the data in a binary tree  level by level  starting at the top,trees
1883,1883,In the first round they have asked from C  Java  C  Data Structure and DBMS The questions are conceptual and if you have the concept clear then it will be easy for you The questions are like representation of tree or linked list using C  SQL query like joining  complexity analysis of a C program  any C program  method overloading from java  use of super keyword in java  why we use Btree  string length calculation using pointer  etc,Number representations and computer  arithmetic
1884,1884,In technical round I was asked about BE project Then basics of data structures  trees  links etc I was also asked about image processing and information theory from Entc I got selected for next round then,linked  lists
1885,1885,What constructors should internal node have accordign to the specfication for the tree structures,trees
1886,1886,how to insert data in a binary tree at the end,trees
1887,1887,In Basic control  I am not much familiar and interested  still go for basic equations and properties regarding settling time  peak overshoot time  lag and lead compensater  and obviously second order steady error rates Dont waste your time in summers and block connecting diagrams,data?path and control unit
1888,1888,What is the use of alert  Control files,data?path and control unit
1889,1889,In second section Mostly they give simple program and asks it op only This section very easy guys You need to concentrate loop control  pointers  structure,data?path and control unit
1890,1890,How can u control the lost acknowledgement issue,data?path and control unit
1891,1891,What I suggest is to do control systems  power systems and machinery gate materials,data?path and control unit
1892,1892,In a PID controllers the transfer function Gs is,data?path and control unit
1893,1893,What   will the controller do before interrupting CPU,data?path and control unit
1894,1894,In memory mapped IO  what will happen if a device is identified with a 16 bit address and enabled by memory related control signals,data?path and control unit
1895,1895,In memory mapped IO  what will happen if a device is identified with a 16 bit address and enabled by memory related control signals,data?path and control unit
1896,1896,If you have good domain knowledge and concepts like Java OOPS  DBMS and SQL Queries  Data structures  you can easily crack this interview Never forget to prepare your final year project prepare DBMS speciallyjoin  normalization  transaction  acid properties,SQL
1897,1897,What is Interface Control  Information,data?path and control unit
1898,1898,what is 16 bit processor i think 16 bits for address bus16 bits data 16 bits for control one more option not sure but address according to me,data?path and control unit
1899,1899,In the interview process he may give the ques to write a progam for desired one  or he can give a set of ques on ur BTech basics ie micro processors  control systems  network theory etc Out of 26 members  I was around 14th member called,data?path and control unit
1900,1900,tell me some of the control blocks and explain,data?path and control unit
1901,1901,In that day we got the result and about 250 were selected for further round I am also one of them they told us to come next day for further round Next day from the morning I was waiting for my number for 2nd round It comes at around 400pm  there was a beautiful young lady I was very nervous but any how I controlled myself,Number representations and computer  arithmetic
1902,1902,What is the scope of the control permission in SQL Server 2005,data?path and control unit
1903,1903,In SQL Server 2005  you want to monitor your transactional replication and determine how long it takes for a transaction to move from the publisher to a subscriber What would you use to help you do this,SQL
1904,1904,What can tracer tokens measure in SQL Server 2005 transactional replication,SQL
1905,1905,In order to execute objects from CLR assemblies with EXTERNAL_ACCESS or UNSAFE permissions  the assemby must either be signed with a key pair or the database hosting the assembly must have the TRUSTWORTHY database property set to ON Executing the other answers is essentially controlled by permissions Setting the TRUSTWORTHY database property to ON also allows you to use the EXECUTE AS clause to allow impersonation outside the scope of the database within the instance but this was not one of the answers,data?path and control unit
1906,1906,If you have a replication scenario with one publisher  one distributor and one subscriber and the transaction isolation level is not set to serializable  what happens when a transaction fails on the publisher,Transactions  and concurrency control
1907,1907,How would you implement copyprotection on a control   which can be embedded in a document and duplicated readily via the Internet,data?path and control unit
1908,1908,What are the states of the new UI controls How will the   user know what the controls are for and when to use them,data?path and control unit
1909,1909,what is the difference between user control an custom control advantagesdisadvantages,data?path and control unit
1910,1910,When we go for html server controls and when we go for web server controls,data?path and control unit
1911,1911,How would you implement copyprotection on a control which can be embedded in a document and duplicated readily via the Internet,data?path and control unit
1912,1912,What are the states of the new UI controls How will the user know what the controls are for and when to use them,data?path and control unit
1913,1913,When an instance of an ORACLE database is started  its control file is used to identify the database and redo log files that must be opened for database operation to proceed It is also used in database recovery,data?path and control unit
1914,1914,If you need to load positional data fixed length  look at the following control file example,data?path and control unit
1915,1915,What is the use of Control files ,data?path and control unit
1916,1916,In a Single Threaded Architecture or a dedicated server configuration the database manager creates a separate process for each database user But in MTA the database manager can assign multiple users multiple user processes to a single dispatcher server process  a controlling process that queues request for work thus reducing the databases memory requirement and resources,data?path and control unit
1917,1917,In which motor starting torque can be incr by adding rotor resistance IM there were 4 qns frm Power plants had to guess in that questions from Controls,data?path and control unit
1918,1918,In technical section questions were on AnalogMOSFETS  BJTS  Qpoints  Opamps Digital electronics  CCEmbedded C on bit operations  dynamic memory allocation  RTOS  Control Systems  etc,fixed and floating point
1919,1919,In this round I was asked mainly on my project  C write code for string concatenation  strcpy etc using pointers also I was asked to write a C code to set a particular bit the bit number to be taken from the input use left shift operator and about 8051 and basics of control systems and basics of AD DA converter  a question on Malloc and Calloc  one puzzle to test ur problem solving capability For me they had asked what is the angle between hour and minute Hand when the time is 315 and also they asked me to interchange two variables without using the third variable and it went for more than an hour finally they gave me 7 out of 10 which means that u can join the company but requires 1 month of training to pickup Any ways I cleared the first round,Number representations and computer  arithmetic
1920,1920,Which are related to Our engineering subjects like BASIC ELECTRONICS  NT  CONTROL SYSTEMS  ELECTRICAL MACHINES  DIGITAL ELECTRONICS  APTITUDE   GEN PHYSICS  GEN ENGLISH  C QUES PLAY KEY ROLE C  aptitude is very easy,data?path and control unit
1921,1921,If the number of LUWs cannot be reduced by bundling application transactions  you should at least make sure that the data are fetched from all connected BWs as quickly as possible But for other  BWspecific  reasons  the frequency should not be higher than one DeltaRequest per hour,Number representations and computer  arithmetic
1922,1922,What is flow control and where it is done,data?path and control unit
1923,1923,Can you work on other technologies like cc,LAN  technologies
1924,1924,In all probability  what we are seeing right now is just a precursor to the larger picture  well laid out by them may be for the good With rising prices  the OPEC might be delighted right now  but perhaps they are unable to see what is going to hit them For this unprecedented rise in oil is creating a most demanding environment for alternative fuels As and when the reserves deplete and demand really grows  more than anyone else  it is OPEC that would be badly hit  much to the glee of some nations having unused reserves which have the most to gain by using blackmailing tactics Eventually  the countries at the receiving end would be forced to create an enabling environment for alternative energy This trend is already visible  with India showing the way with its nuclear deal and other countries dangling the carrot of complete conversion to natural gas towards other countries in order to boost their own business By doing so they are creating a tactical pressure on countries As they know that the further the oil prices get pushed  the more the globe would become attracted and ready for alternative and nonconventional fuel Moreover  for many of the countries  it might become more expensive to invest in newer technologies to conform to the emission norms than to shift to alternative sources  making the market even more attractive And it is then that the organizations which have already invested billions of dollars in alternate fuels would mop up the global energy market completely,Context-free  grammars  and  push-down automata
1925,1925,Can we assign an IP address that is not a member of connected LAN subnet address to the internal interface of Default gateway,O interface
1926,1926,If i face a customer who has a technical problem regarding a particular technology and i dont know anything about that technology  how would i solve the problem of that customer  you can not take help from others  you can not ask for extra time  customer is very important so i can not afford to lose him,Asymptotic  worst  case  time  and  space  complexity
1927,1927,Tell me something about consagous technologies,LAN  technologies
1928,1928,In the Interview round  they asked all basics of C  C  Java About our project and we have to explain They asked questions on DBMS like difference between Dbms and RDbms Also  they asked the latest technology and he asked some personal questions As I am a Cse student  I felt it easy and I done with my Technical round To my friends  some Interviewer asked some programs and logics in C program Prepare the basics and some programs the interviewer usually asks,dynamic programming and divide?and?conquer
1929,1929,Write a program for inheritance I have done it and then technical interviewer tells me what the projects we are doing here and tell me the technologies we are done here,dynamic programming and divide?and?conquer
1930,1930,In technical I was asked why I wanted Dell  Recent thing that I have learnt I told them about my summer internship and what new technology I learnt there He then asked me how can I design an application which can take feedback from the customers periodically,Algorithm design techniques
1931,1931,How to be on par with technology after 5 years The constraints given were time and financial conditions The issue was if a training program for all the employees was considered  then it would waste the time and financial resources So what are your solutions for it  How would you be on par with technology after 5 years ,Asymptotic  worst  case  time  and  space  complexity
1932,1932,If you are lucky you might have a hr round type techelse be prepared with dc antennas microwave gsm cdma gprs edge technologies,LAN  technologies
1933,1933,when can a computer act as server and client in LAN WANpeerpeerclient server i wrote PtoP,Number representations and computer  arithmetic
1934,1934,If a lan with 100mbps is there which wan can give same features,LAN  technologies
1935,1935,In technical interview  they mainly concentrated on academic project So  be clear with your project like modules  architecture  and technologies used And be confident on C  Java and DBMS concepts It is enough to clear the technical interview,LAN  technologies
1936,1936,What I suggest to guys is to be updated with technology ideas that are on the it sector  that is all you need  and you must prepare for 23 subjects like C  data structure  OS  DBMS  networking etc  Dont worry they will ask questions only within your domain,LAN  technologies
1937,1937,In Tech Interview they totally asked questions about the technologies which will be useful in real time scenario like SDLC Software testing Mvc Architechure 3 Tier Architechure some questions on Uml and most of the questions are on RDBMS and U can do it just u should have the basic knowledge on all the subjectsThey will scale you according to your answer and if you answer well you will get grade like A and they will call you immediately for HR,Asymptotic  worst  case  time  and  space  complexity
1938,1938,How can computer technology be integrated in an elevator system for a hundred story office building How do you optimize for availability How would variation of traffic over a typical work week or floor or time of day affect this,Number representations and computer  arithmetic
1939,1939,How can computer technology be integrated in an elevator   system for a hundred story office building How do you optimize for   availability,Number representations and computer  arithmetic
1940,1940, Learning Curve  despite the misleading name  ADONET is not simply a new version of ADO  nor should it even be considered a direct successor ADONET should be thought of more as the data access class library for use with the NET framework The difficulty in learning to use ADONET to its fullest is that a lot of it does seem familiar It is this that causes some common pitfalls Programmers need to learn that even though some syntax may appear the same  there is actually a considerable amount of difference in the internal workings of many classes For example this will be discussed in far more detail later  an ADONET DataSet is nothing at all like a disconnected ADO RecordSet Some may consider a learning curve a drawback  but I consider learning curves more like scheduling issues Theres a learning curve in learning anything new its just up to you to schedule that curve into your time so that you can learn the new technology at a pace that fits your schedule,Asymptotic  worst  case  time  and  space  complexity
1941,1941,How can computer technology be integrated in an elevator system for a hundred story office building How do you optimize for availability,Number representations and computer  arithmetic
1942,1942,Which technology is being used in AI and IoT and how to implement it ,LAN  technologies
1943,1943,What is the throughput of the Ethernet LAN,Ethernet
1944,1944,Explain the advantage and disadvantage of ethernet ,Ethernet
1945,1945,What is the Bandwidth of ethernet ,Ethernet
1946,1946,Explain the advantage  disadvantage of ethernet ,Ethernet
1947,1947,Which one is costly  ethernet of ring networks ,Ethernet
1948,1948,What is the difference between an Ethernet Address and an   IP address,Ethernet
1949,1949,What is the difference between an Ethernet Address and an IP address,Ethernet
1950,1950,In a digital circuit which was to implement A B  AXORB  the designer implements A B AXORB What is the probability of error in it ,Combinational  and  sequential  circuits
1951,1951,In Basic control  I am not much familiar and interested  still go for basic equations and properties regarding settling time  peak overshoot time  lag and lead compensater  and obviously second order steady error rates Dont waste your time in summers and block connecting diagrams,data?path and control unit
1952,1952,What is the use of alert  Control files,data?path and control unit
1953,1953,In tech round  I was asked abt  What is autometa theory Give me an example of Autometa theory application Then I was asked to draw a flow chart and to write Code for that exampleThen I was asked puzzlesI coulnt ans any puzzle,Intermediate code generation
1954,1954,In second section Mostly they give simple program and asks it op only This section very easy guys You need to concentrate loop control  pointers  structure,data?path and control unit
1955,1955,In this section most questions were based in C and few in C A small program was given and asked to find out error or output,dynamic programming and divide?and?conquer
1956,1956,In Communications PCM  Quantization  how to solve quantization error  why is modulation required,inter?process  communication
1957,1957,In Microprocessor  mainly 8086  in detail with programming  and find the error in the program  or the,dynamic programming and divide?and?conquer
1958,1958,In Communications PCM  Quantization  how to solve quantization error  why is modulation required  Companding In computer networks they asked about PING  ICMP  TCP UDP In Microprocessor  mainly 8086  in detail with programming  and find the error in the program  or the amount of memory allocated Instruction Queue of 8086  memory size required to store 8bit  8bit multiplication Expect grilling in C programming during interview Even C,Number representations and computer  arithmetic
1959,1959,How can u control the lost acknowledgement issue,data?path and control unit
1960,1960,What I suggest is to do control systems  power systems and machinery gate materials,data?path and control unit
1961,1961,In a rough turbulent flow in a pipe  the friction factor would depend upon Ans Pipe diameter and pipe condition,Flow  and  error  control  techniques
1962,1962,Which of the followings pairs of Telemetry situations and Modulation techniques and conditions is correctly matched,Algorithm design techniques
1963,1963,In a PID controllers the transfer function Gs is,data?path and control unit
1964,1964,In schotty barrier diode current flows because of ,Flow  and  error  control  techniques
1965,1965,In schotty barrier diode current flows because of ,Flow  and  error  control  techniques
1966,1966,Write in 200 to 250 words without spelling mistake and grammatical error I wrote 197 words still I cleared that round,Flow  and  error  control  techniques
1967,1967,in hr interview he verified the essay paper and marked the errors and     asked to correct them whats ur rank in mca ,Flow  and  error  control  techniques
1968,1968,What is the probability of error in it ,Flow  and  error  control  techniques
1969,1969,What   will the controller do before interrupting CPU,data?path and control unit
1970,1970,In memory mapped IO  what will happen if a device is identified with a 16 bit address and enabled by memory related control signals,data?path and control unit
